POB_TOTAL_INEI,POB_URBANA_INEI,POB_RURAL_INEI,DEMOGRAFIA_ID
37870,37125,745,1
39051,38221,830,2
39691,38800,891,3
40274,39322,952,4
281,147,134,5
278,140,138,6
277,135,142,7
276,132,144,8
1202,336,866,9
1180,311,869,10
1169,296,873,11
1158,281,877,12
696,467,229,13
702,459,243,14
705,452,253,15
707,444,263,16
604,178,426,17
589,164,425,18
581,156,425,19
575,148,427,20
1955,521,1434,21
1933,486,1447,22
1922,464,1458,23
1910,443,1467,24
532,183,349,25
539,176,363,26
541,170,371,27
543,164,379,28
1395,1338,57,29
1456,1392,64,30
1481,1413,68,31
1500,1428,72,32
4080,2312,1768,33
3966,2169,1797,34
3834,2045,1789,35
3697,1922,1775,36
3845,2859,986,37
3815,2778,1037,38
3799,2726,1073,39
3781,2672,1109,40
817,449,368,41
803,426,377,42
796,411,385,43
789,397,392,44
913,731,182,45
911,717,194,46
910,709,201,47
906,697,209,48
1507,1036,471,49
1534,1028,506,50
1561,1029,532,51
1586,1025,561,52
2296,631,1665,53
2266,588,1678,54
2251,561,1690,55
2235,535,1700,56
503,461,42,57
487,443,44,58
479,434,45,59
472,426,46,60
429,141,288,61
435,136,299,62
438,131,307,63
441,127,314,64
807,95,712,65
792,87,705,66
785,82,703,67
778,77,701,68
323,238,85,69
323,233,90,70
325,231,94,71
326,227,99,72
599,429,170,73
590,413,177,74
585,402,183,75
581,392,189,76
1279,217,1062,77
1261,200,1061,78
1252,190,1062,79
1243,180,1063,80
274,106,168,81
277,102,175,82
279,99,180,83
280,97,183,84
29540,26870,2670,85
29905,27173,2732,86
30240,27441,2799,87
30479,27620,2859,88
10300,2874,7426,89
10149,2806,7343,90
10049,2751,7298,91
9919,2685,7234,92
4787,2370,2417,93
4660,2293,2367,94
4563,2229,2334,95
4452,2158,2294,96
1292,669,623,97
1287,663,624,98
1281,655,626,99
1273,646,627,100
31300,5618,25682,101
32136,5709,26427,102
32789,5758,27031,103
33338,5781,27557,104
6631,4093,2538,105
6535,4014,2521,106
6453,3942,2511,107
6374,3871,2503,108
1354,1112,242,109
1332,1091,241,110
1309,1069,240,111
1283,1046,237,112
321,124,197,113
319,122,197,114
317,120,197,115
313,118,195,116
301,291,10,117
300,289,11,118
298,287,11,119
819,80,739,120
825,80,745,121
831,79,752,122
835,79,756,123
694,384,310,124
684,376,308,125
673,368,305,126
662,359,303,127
6409,3858,2551,128
6397,3829,2568,129
6380,3800,2580,130
6353,3763,2590,131
7994,6721,1273,132
7931,6653,1278,133
7855,6576,1279,134
7774,6493,1281,135
219,63,156,136
218,62,156,137
215,60,155,138
216,61,155,139
535,386,149,140
551,397,154,141
565,406,159,142
579,414,165,143
1656,865,791,144
1678,870,808,145
1698,876,822,146
1716,879,837,147
868,282,586,148
837,269,568,149
806,257,549,150
775,245,530,151
5802,2246,3556,152
5757,2210,3547,153
5706,2174,3532,154
5645,2133,3512,155
21071,4403,16668,156
20847,4335,16512,157
20569,4261,16308,158
20264,4178,16086,159
12213,1142,11071,160
12537,1166,11371,161
12854,1190,11664,162
13122,1208,11914,163
17543,2380,15163,164
17960,2424,15536,165
18364,2469,15895,166
18696,2501,16195,167
2381,2123,258,168
2375,2113,262,169
2363,2098,265,170
2345,2078,267,171
7422,4618,2804,172
7515,4641,2874,173
7584,4654,2930,174
7644,4656,2988,175
2068,366,1702,176
2045,357,1688,177
2015,347,1668,178
1983,336,1647,179
1975,1268,707,180
1933,1232,701,181
1887,1195,692,182
1838,1157,681,183
1939,1102,837,184
1923,1084,839,185
1899,1062,837,186
1875,1040,835,187
502,342,160,188
486,330,156,189
469,315,154,190
451,302,149,191
892,216,676,192
883,210,673,193
873,205,668,194
860,199,661,195
876,352,524,196
858,341,517,197
838,329,509,198
817,318,499,199
4139,2418,1721,200
4118,2387,1731,201
4086,2350,1736,202
4047,2308,1739,203
407,407,0,204
405,405,0,205
401,401,0,206
398,398,0,207
785,391,394,208
776,383,393,209
764,373,391,210
752,364,388,211
3939,1637,2302,212
3950,1623,2327,213
3953,1607,2346,214
3957,1591,2366,215
3734,542,3192,216
3712,531,3181,217
3679,519,3160,218
3641,504,3137,219
5125,400,4725,220
5075,389,4686,221
5012,379,4633,222
4940,366,4574,223
1399,269,1130,224
1389,263,1126,225
1374,257,1117,226
1356,250,1106,227
563,448,115,228
550,435,115,229
535,422,113,230
520,409,111,231
739,381,358,232
732,374,358,233
722,365,357,234
711,356,355,235
645,212,433,236
621,202,419,237
597,192,405,238
571,181,390,239
445,71,374,240
434,68,366,241
423,65,358,242
411,62,349,243
2114,441,1673,244
2145,441,1704,245
2168,439,1729,246
2189,437,1752,247
3127,902,2225,248
3070,873,2197,249
3004,843,2161,250
2935,813,2122,251
1367,787,580,252
1375,785,590,253
1378,780,598,254
1381,776,605,255
1449,898,551,256
1457,897,560,257
1458,892,566,258
1459,886,573,259
6399,5305,1094,260
6499,5388,1111,261
6551,5426,1125,262
6594,5457,1137,263
2799,71,2728,264
2877,73,2804,265
2914,73,2841,266
2946,73,2873,267
633,550,83,268
636,553,83,269
638,554,84,270
639,554,85,271
2722,794,1928,272
2664,777,1887,273
2590,753,1837,274
2515,727,1788,275
2465,447,2018,276
2431,441,1990,277
2385,431,1954,278
2338,420,1918,279
1691,905,786,280
1673,896,777,281
1647,880,767,282
1621,864,757,283
1566,1054,512,284
1559,1049,510,285
1539,1035,504,286
1519,1020,499,287
439,250,189,288
419,238,181,289
411,234,177,290
405,229,176,291
9830,615,9215,292
10028,627,9401,293
10127,630,9497,294
10206,633,9573,295
534,159,375,296
529,158,371,297
527,157,370,298
526,156,370,299
290,66,224,300
288,65,223,301
289,65,224,302
286,64,222,303
3754,415,3339,304
4048,448,3600,305
4277,471,3806,306
4504,493,4011,307
57076,39646,17430,308
57746,39856,17890,309
58380,40044,18336,310
58947,40172,18775,311
24794,8262,16532,312
24525,8059,16466,313
24236,7858,16378,314
23916,7649,16267,315
8819,3243,5576,316
8760,3179,5581,317
8695,3116,5579,318
8620,3049,5571,319
6471,3101,3370,320
6503,3082,3421,321
6531,3064,3467,322
6551,3040,3511,323
7269,1370,5899,324
7215,1336,5879,325
7156,1303,5853,326
7087,1270,5817,327
11182,4047,7135,328
11300,4036,7264,329
11412,4023,7389,330
11509,4005,7504,331
3242,585,2657,332
3245,575,2670,333
3247,566,2681,334
3249,558,2691,335
67418,61229,6189,336
68466,61927,6539,337
69249,62393,6856,338
69882,62721,7161,339
1723,450,1273,340
1698,429,1269,341
1682,413,1269,342
1669,397,1272,343
293,125,168,344
274,114,160,345
262,107,155,346
252,100,152,347
1689,288,1401,348
1652,271,1381,349
1627,258,1369,350
1608,247,1361,351
84931,70935,13996,352
87112,72228,14884,353
88989,73273,15716,354
90711,74178,16533,355
5138,2645,2493,356
5206,2623,2583,357
5254,2594,2660,358
5292,2562,2730,359
1122,285,837,360
1110,273,837,361
1102,263,839,362
1095,254,841,363
2514,1244,1270,364
2507,1214,1293,365
2503,1187,1316,366
2498,1161,1337,367
1020,335,685,368
998,318,680,369
984,306,678,370
973,294,679,371
5163,1344,3819,372
5235,1319,3916,373
5287,1293,3994,374
5328,1266,4062,375
3518,1155,2363,376
3489,1112,2377,377
3472,1077,2395,378
3456,1044,2412,379
7337,2007,5330,380
7529,1995,5534,381
7695,1980,5715,382
7848,1962,5886,383
2175,1064,1111,384
2182,1045,1137,385
2186,1027,1159,386
2184,1005,1179,387
1683,393,1290,388
1649,373,1276,389
1594,351,1243,390
1538,328,1210,391
371,212,159,392
358,202,156,393
342,189,153,394
327,179,148,395
1573,257,1316,396
1517,240,1277,397
1468,224,1244,398
1418,210,1208,399
