UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,UBICACION_ID
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SELVA,1
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,SELVA,2
10103,AMAZONAS,CHACHAPOYAS,BALSAS,SIERRA,3
10104,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA,4
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SIERRA,5
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SIERRA,6
10107,AMAZONAS,CHACHAPOYAS,GRANADA,SELVA,7
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,SIERRA,8
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,SELVA,9
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SELVA,10
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA,11
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA,12
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SELVA,13
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,14
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SELVA,15
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,SELVA,16
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SELVA,17
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SELVA,18
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SELVA,19
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,SELVA,20
10121,AMAZONAS,CHACHAPOYAS,SONCHE,SELVA,21
10201,AMAZONAS,BAGUA,BAGUA,SELVA,22
10201,AMAZONAS,BAGUA,BAGUA ,SELVA,23
10202,AMAZONAS,BAGUA,ARAMANGO,SELVA,24
10203,AMAZONAS,BAGUA,COPALLIN,SELVA,25
10204,AMAZONAS,BAGUA,EL PARCO,SELVA,26
10205,AMAZONAS,BAGUA,IMAZA,SELVA,27
10206,AMAZONAS,BAGUA,LA PECA,SELVA,28
10206,AMAZONAS,BAGUA,LA PECA ,SELVA,29
10301,AMAZONAS,BONGARA,JUMBILLA,SELVA,30
10302,AMAZONAS,BONGARA,CHISQUILLA,SELVA,31
10303,AMAZONAS,BONGARA,CHURUJA,SELVA,32
10304,AMAZONAS,BONGARA,COROSHA,SELVA,33
10305,AMAZONAS,BONGARA,CUISPES,SELVA,34
10306,AMAZONAS,BONGARA,FLORIDA,SELVA,35
10307,AMAZONAS,BONGARA,JAZAN,SELVA,36
10308,AMAZONAS,BONGARA,RECTA,SELVA,37
10309,AMAZONAS,BONGARA,SAN CARLOS,SELVA,38
10310,AMAZONAS,BONGARA,SHIPASBAMBA,SELVA,39
10311,AMAZONAS,BONGARA,VALERA,SELVA,40
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA,41
10401,AMAZONAS,CONDORCANQUI,NIEVA,SELVA,42
10401,AMAZONAS,CONDORCANQUI,NIEVA ,SELVA,43
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,SELVA,44
10402,AMAZONAS,CONDORCANQUI,EL CENEPA ,SELVA,45
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,SELVA,46
10501,AMAZONAS,LUYA,LAMUD,SIERRA,47
10502,AMAZONAS,LUYA,CAMPORREDONDO,SELVA,48
10503,AMAZONAS,LUYA,COCABAMBA,SELVA,49
10504,AMAZONAS,LUYA,COLCAMAR,SIERRA,50
10505,AMAZONAS,LUYA,CONILA,SELVA,51
10506,AMAZONAS,LUYA,INGUILPATA,SIERRA,52
10507,AMAZONAS,LUYA,LONGUITA,SELVA,53
10508,AMAZONAS,LUYA,LONYA CHICO,SIERRA,54
10509,AMAZONAS,LUYA,LUYA,SIERRA,55
10510,AMAZONAS,LUYA,LUYA VIEJO,SIERRA,56
10511,AMAZONAS,LUYA,MARIA,SELVA,57
10512,AMAZONAS,LUYA,OCALLI,SELVA,58
10513,AMAZONAS,LUYA,OCUMAL,SELVA,59
10514,AMAZONAS,LUYA,PISUQUIA,SIERRA,60
10515,AMAZONAS,LUYA,PROVIDENCIA,SIERRA,61
10516,AMAZONAS,LUYA,SAN CRISTOBAL,SIERRA,62
10517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,SIERRA,63
10518,AMAZONAS,LUYA,SAN JERONIMO,SIERRA,64
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,SELVA,65
10520,AMAZONAS,LUYA,SANTA CATALINA,SIERRA,66
10521,AMAZONAS,LUYA,SANTO TOMAS,SELVA,67
10522,AMAZONAS,LUYA,TINGO,SIERRA,68
10523,AMAZONAS,LUYA,TRITA,SIERRA,69
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,SELVA,70
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,SELVA,71
10603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,SELVA,72
10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,SELVA,73
10605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,SELVA,74
10606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,SELVA,75
10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,SELVA,76
10608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,SELVA,77
10609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,SELVA,78
10610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,SELVA,79
10611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,SELVA,80
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,SELVA,81
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,SIERRA,82
10702,AMAZONAS,UTCUBAMBA,CAJARURO,SELVA,83
10702,AMAZONAS,UTCUBAMBA,CAJARURO ,SELVA,84
10703,AMAZONAS,UTCUBAMBA,CUMBA,SIERRA,85
10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,SIERRA,86
10705,AMAZONAS,UTCUBAMBA,JAMALCA,SIERRA,87
10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,SELVA,88
10707,AMAZONAS,UTCUBAMBA,YAMON,SIERRA,89
20101,ANCASH,HUARAZ,HUARAZ,SIERRA,90
20102,ANCASH,HUARAZ,COCHABAMBA,SIERRA,91
20103,ANCASH,HUARAZ,COLCABAMBA,SIERRA,92
20104,ANCASH,HUARAZ,HUANCHAY,SIERRA,93
20105,ANCASH,HUARAZ,INDEPENDENCIA,SIERRA,94
20106,ANCASH,HUARAZ,JANGAS,SIERRA,95
20107,ANCASH,HUARAZ,LA LIBERTAD,SIERRA,96
20108,ANCASH,HUARAZ,OLLEROS,SIERRA,97
20109,ANCASH,HUARAZ,PAMPAS GRANDE,SIERRA,98
20109,ANCASH,HUARAZ,PAMPAS,SIERRA,99
20110,ANCASH,HUARAZ,PARIACOTO,SIERRA,100
20111,ANCASH,HUARAZ,PIRA,SIERRA,101
20112,ANCASH,HUARAZ,TARICA,SIERRA,102
20201,ANCASH,AIJA,AIJA,SIERRA,103
20202,ANCASH,AIJA,CORIS,SIERRA,104
20203,ANCASH,AIJA,HUACLLAN,SIERRA,105
20204,ANCASH,AIJA,LA MERCED,SIERRA,106
20205,ANCASH,AIJA,SUCCHA,SIERRA,107
20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,SIERRA,108
20302,ANCASH,ANTONIO RAYMONDI,ACZO,SIERRA,109
20303,ANCASH,ANTONIO RAYMONDI,CHACCHO,SIERRA,110
20304,ANCASH,ANTONIO RAYMONDI,CHINGAS,SIERRA,111
20305,ANCASH,ANTONIO RAYMONDI,MIRGAS,SIERRA,112
20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,SIERRA,113
20401,ANCASH,ASUNCION,CHACAS,SIERRA,114
20402,ANCASH,ASUNCION,ACOCHACA,SIERRA,115
20501,ANCASH,BOLOGNESI,CHIQUIAN,SIERRA,116
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,SIERRA,117
20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,SIERRA,118
20504,ANCASH,BOLOGNESI,AQUIA,SIERRA,119
20505,ANCASH,BOLOGNESI,CAJACAY,SIERRA,120
20506,ANCASH,BOLOGNESI,CANIS,SIERRA,121
20507,ANCASH,BOLOGNESI,COLQUIOC,COSTA,122
20508,ANCASH,BOLOGNESI,HUALLANCA,SIERRA,123
20509,ANCASH,BOLOGNESI,HUASTA,SIERRA,124
20510,ANCASH,BOLOGNESI,HUAYLLACAYAN,SIERRA,125
20511,ANCASH,BOLOGNESI,LA PRIMAVERA,SIERRA,126
20512,ANCASH,BOLOGNESI,MANGAS,SIERRA,127
20513,ANCASH,BOLOGNESI,PACLLON,SIERRA,128
20514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,SIERRA,129
20515,ANCASH,BOLOGNESI,TICLLOS,SIERRA,130
20601,ANCASH,CARHUAZ,CARHUAZ,SIERRA,131
20602,ANCASH,CARHUAZ,ACOPAMPA,SIERRA,132
20603,ANCASH,CARHUAZ,AMASHCA,SIERRA,133
20604,ANCASH,CARHUAZ,ANTA,SIERRA,134
20605,ANCASH,CARHUAZ,ATAQUERO,SIERRA,135
20606,ANCASH,CARHUAZ,MARCARA,SIERRA,136
20607,ANCASH,CARHUAZ,PARIAHUANCA,SIERRA,137
20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,SIERRA,138
20609,ANCASH,CARHUAZ,SHILLA,SIERRA,139
20610,ANCASH,CARHUAZ,TINCO,SIERRA,140
20611,ANCASH,CARHUAZ,YUNGAR,SIERRA,141
20701,ANCASH,CARLOS F. FITZCARRALD,SAN LUIS,SIERRA,142
20702,ANCASH,CARLOS F. FITZCARRALD,SAN NICOLAS,SIERRA,143
20703,ANCASH,CARLOS F. FITZCARRALD,YAUYA,SIERRA,144
20801,ANCASH,CASMA,CASMA,COSTA,145
20802,ANCASH,CASMA,BUENA VISTA ALTA,COSTA,146
20803,ANCASH,CASMA,COMANDANTE NOEL,COSTA,147
20804,ANCASH,CASMA,YAUTAN,COSTA,148
20901,ANCASH,CORONGO,CORONGO,SIERRA,149
20902,ANCASH,CORONGO,ACO,SIERRA,150
20903,ANCASH,CORONGO,BAMBAS,SIERRA,151
20904,ANCASH,CORONGO,CUSCA,SIERRA,152
20905,ANCASH,CORONGO,LA PAMPA,SIERRA,153
20906,ANCASH,CORONGO,YANAC,SIERRA,154
20907,ANCASH,CORONGO,YUPAN,SIERRA,155
21001,ANCASH,HUARI,HUARI,SIERRA,156
21002,ANCASH,HUARI,ANRA,SIERRA,157
21003,ANCASH,HUARI,CAJAY,SIERRA,158
21004,ANCASH,HUARI,CHAVIN DE HUANTAR,SIERRA,159
21005,ANCASH,HUARI,HUACACHI,SIERRA,160
21006,ANCASH,HUARI,HUACCHIS,SIERRA,161
21007,ANCASH,HUARI,HUACHIS,SIERRA,162
21008,ANCASH,HUARI,HUANTAR,SIERRA,163
21009,ANCASH,HUARI,MASIN,SIERRA,164
21010,ANCASH,HUARI,PAUCAS,SIERRA,165
21011,ANCASH,HUARI,PONTO,SIERRA,166
21012,ANCASH,HUARI,RAHUAPAMPA,SIERRA,167
21013,ANCASH,HUARI,RAPAYAN,SIERRA,168
21014,ANCASH,HUARI,SAN MARCOS,SIERRA,169
21015,ANCASH,HUARI,SAN PEDRO DE CHANA,SIERRA,170
21016,ANCASH,HUARI,UCO,SIERRA,171
21101,ANCASH,HUARMEY,HUARMEY,COSTA,172
21102,ANCASH,HUARMEY,COCHAPETI,COSTA,173
21103,ANCASH,HUARMEY,CULEBRAS,COSTA,174
21104,ANCASH,HUARMEY,HUAYAN,COSTA,175
21105,ANCASH,HUARMEY,MALVAS,COSTA,176
21201,ANCASH,HUAYLAS,CARAZ,SIERRA,177
21202,ANCASH,HUAYLAS,HUALLANCA,SIERRA,178
21203,ANCASH,HUAYLAS,HUATA,SIERRA,179
21204,ANCASH,HUAYLAS,HUAYLAS,SIERRA,180
21205,ANCASH,HUAYLAS,MATO,SIERRA,181
21206,ANCASH,HUAYLAS,PAMPAROMAS,SIERRA,182
21207,ANCASH,HUAYLAS,PUEBLO LIBRE,SIERRA,183
21208,ANCASH,HUAYLAS,SANTA CRUZ,SIERRA,184
21209,ANCASH,HUAYLAS,SANTO TORIBIO,SIERRA,185
21210,ANCASH,HUAYLAS,YURACMARCA,SIERRA,186
21301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,SIERRA,187
21302,ANCASH,MARISCAL LUZURIAGA,CASCA,SIERRA,188
21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,SIERRA,189
21304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,SIERRA,190
21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,SIERRA,191
21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,SIERRA,192
21307,ANCASH,MARISCAL LUZURIAGA,LUCMA,SIERRA,193
21308,ANCASH,MARISCAL LUZURIAGA,MUSGA,SIERRA,194
21401,ANCASH,OCROS,OCROS,SIERRA,195
21402,ANCASH,OCROS,ACAS,SIERRA,196
21403,ANCASH,OCROS,CAJAMARQUILLA,SIERRA,197
21404,ANCASH,OCROS,CARHUAPAMPA,SIERRA,198
21405,ANCASH,OCROS,COCHAS,COSTA,199
21406,ANCASH,OCROS,CONGAS,SIERRA,200
21407,ANCASH,OCROS,LLIPA,SIERRA,201
21408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,SIERRA,202
21409,ANCASH,OCROS,SAN PEDRO,COSTA,203
21410,ANCASH,OCROS,SANTIAGO DE CHILCAS,SIERRA,204
21501,ANCASH,PALLASCA,CABANA,SIERRA,205
21502,ANCASH,PALLASCA,BOLOGNESI,SIERRA,206
21503,ANCASH,PALLASCA,CONCHUCOS,SIERRA,207
21504,ANCASH,PALLASCA,HUACASCHUQUE,SIERRA,208
21505,ANCASH,PALLASCA,HUANDOVAL,SIERRA,209
21506,ANCASH,PALLASCA,LACABAMBA,SIERRA,210
21507,ANCASH,PALLASCA,LLAPO,SIERRA,211
21508,ANCASH,PALLASCA,PALLASCA,SIERRA,212
21509,ANCASH,PALLASCA,PAMPAS,SIERRA,213
21510,ANCASH,PALLASCA,SANTA ROSA,SIERRA,214
21511,ANCASH,PALLASCA,TAUCA,SIERRA,215
21601,ANCASH,POMABAMBA,POMABAMBA,SIERRA,216
21602,ANCASH,POMABAMBA,HUAYLLAN,SIERRA,217
21603,ANCASH,POMABAMBA,PAROBAMBA,SIERRA,218
21604,ANCASH,POMABAMBA,QUINUABAMBA,SIERRA,219
21701,ANCASH,RECUAY,RECUAY,SIERRA,220
21702,ANCASH,RECUAY,CATAC,SIERRA,221
21703,ANCASH,RECUAY,COTAPARACO,SIERRA,222
21704,ANCASH,RECUAY,HUAYLLAPAMPA,SIERRA,223
21705,ANCASH,RECUAY,LLACLLIN,SIERRA,224
21706,ANCASH,RECUAY,MARCA,SIERRA,225
21707,ANCASH,RECUAY,PAMPAS CHICO,SIERRA,226
21708,ANCASH,RECUAY,PARARIN,COSTA,227
21709,ANCASH,RECUAY,TAPACOCHA,SIERRA,228
21710,ANCASH,RECUAY,TICAPAMPA,SIERRA,229
21801,ANCASH,SANTA,CHIMBOTE,COSTA,230
21802,ANCASH,SANTA,CACERES DEL PERU,SIERRA,231
21803,ANCASH,SANTA,COISHCO,COSTA,232
21804,ANCASH,SANTA,MACATE,SIERRA,233
21805,ANCASH,SANTA,MORO,SIERRA,234
21806,ANCASH,SANTA,NEPEÑA,COSTA,235
21806,ANCASH,SANTA,NEPEï¿½A,COSTA,236
21807,ANCASH,SANTA,SAMANCO,COSTA,237
21808,ANCASH,SANTA,SANTA,COSTA,238
21809,ANCASH,SANTA,NUEVO CHIMBOTE,COSTA,239
21901,ANCASH,SIHUAS,SIHUAS,SIERRA,240
21902,ANCASH,SIHUAS,ACOBAMBA,SIERRA,241
21903,ANCASH,SIHUAS,ALFONSO UGARTE,SIERRA,242
21904,ANCASH,SIHUAS,CASHAPAMPA,SIERRA,243
21905,ANCASH,SIHUAS,CHINGALPO,SIERRA,244
21906,ANCASH,SIHUAS,HUAYLLABAMBA,SIERRA,245
21907,ANCASH,SIHUAS,QUICHES,SIERRA,246
21908,ANCASH,SIHUAS,RAGASH,SIERRA,247
21909,ANCASH,SIHUAS,SAN JUAN,SIERRA,248
21910,ANCASH,SIHUAS,SICSIBAMBA,SIERRA,249
22001,ANCASH,YUNGAY,YUNGAY,SIERRA,250
22002,ANCASH,YUNGAY,CASCAPARA,SIERRA,251
22003,ANCASH,YUNGAY,MANCOS,SIERRA,252
22004,ANCASH,YUNGAY,MATACOTO,SIERRA,253
22005,ANCASH,YUNGAY,QUILLO,SIERRA,254
22006,ANCASH,YUNGAY,RANRAHIRCA,SIERRA,255
22007,ANCASH,YUNGAY,SHUPLUY,SIERRA,256
22008,ANCASH,YUNGAY,YANAMA,SIERRA,257
30101,APURIMAC,ABANCAY,ABANCAY,SIERRA,258
30102,APURIMAC,ABANCAY,CHACOCHE,SIERRA,259
30103,APURIMAC,ABANCAY,CIRCA,SIERRA,260
30104,APURIMAC,ABANCAY,CURAHUASI,SIERRA,261
30105,APURIMAC,ABANCAY,HUANIPACA,SIERRA,262
30106,APURIMAC,ABANCAY,LAMBRAMA,SIERRA,263
30107,APURIMAC,ABANCAY,PICHIRHUA,SIERRA,264
30108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,SIERRA,265
30109,APURIMAC,ABANCAY,TAMBURCO,SIERRA,266
30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,SIERRA,267
30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS  ,SIERRA,268
30202,APURIMAC,ANDAHUAYLAS,ANDARAPA,SIERRA,269
30203,APURIMAC,ANDAHUAYLAS,CHIARA,SIERRA,270
30204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,SIERRA,271
30205,APURIMAC,ANDAHUAYLAS,HUANCARAY,SIERRA,272
30206,APURIMAC,ANDAHUAYLAS,HUAYANA,SIERRA,273
30207,APURIMAC,ANDAHUAYLAS,KISHUARA,SIERRA,274
30208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,SIERRA,275
30209,APURIMAC,ANDAHUAYLAS,PACUCHA,SIERRA,276
