TIEMPO_ID,UBICACION_ID,MUNICIPALIDAD_ID,DEMOGRAFIA_ID,SITIO_DISPOSICION_ID,AÑO,GENERACION_PER_CAPITA_DOM,GENERACION_DOM_URBANA_TDIA,GENERACION_DOM_URBANA_TANIO,GENERACION_MUN_TDIA,GENERACION_MUN_TANIO,GENERACION_PER_CAPITA_MUNICIPAL,DISPOSICION_FINAL_ADECUADA,COBERTURA_DISPOSICION_FINAL_ADECUADA,RESIDUOS_MUNICIPALES_DISPUESTOS
1,1,1,1,,2019,0.51,18.93,6910.82,27.05,9872.6,0.73,0.0,0.0,0.0
1,1,1,2,,2020,0.51,19.49,7114.84,27.85,10164.06,0.73,0.0,0.0,0.0
1,1,1,3,,2021,0.39,15.13,5523.18,21.62,7890.26,0.56,0.0,0.0,0.0
1,1,1,4,,2022,0.39,15.34,5597.49,21.91,7996.41,0.56,0.0,0.0,0.0
1,2,2,5,,2019,0.54,0.08,29.05,0.11,41.49,0.77,0.0,0.0,0.0
1,2,2,6,,2020,0.53,0.07,27.31,0.11,39.01,0.76,0.0,0.0,0.0
1,2,2,7,,2021,0.51,0.07,25.33,0.10,36.19,0.73,0.0,0.0,0.0
1,2,2,8,,2022,0.52,0.07,25.0,0.10,35.71,0.74,0.0,0.0,0.0
1,3,3,9,,2019,0.44,0.15,53.68,0.21,76.68,0.63,0.0,0.0,0.0
1,3,3,10,,2020,0.44,0.14,49.58,0.19,70.83,0.62,0.0,0.0,0.0
1,3,3,11,,2021,0.44,0.13,47.54,0.19,67.91,0.63,0.0,0.0,0.0
1,3,3,12,,2022,0.45,0.13,45.67,0.18,65.24,0.64,0.0,0.0,0.0
1,4,2,13,,2019,0.44,0.2,74.6,0.29,106.58,0.63,0.0,0.0,0.0
1,4,2,14,,2020,0.44,0.2,73.18,0.29,104.54,0.62,0.0,0.0,0.0
1,4,2,15,,2021,0.44,0.2,72.59,0.28,103.7,0.63,0.0,0.0,0.0
1,4,2,16,,2022,0.45,0.2,72.16,0.28,103.09,0.64,0.0,0.0,0.0
1,5,3,17,,2019,0.44,0.08,28.44,0.11,40.62,0.63,0.0,0.0,0.0
1,5,3,18,,2020,0.44,0.07,26.15,0.10,37.35,0.62,0.0,0.0,0.0
1,5,3,19,,2021,0.44,0.07,25.05,0.10,35.79,0.63,0.0,0.0,0.0
1,5,3,20,,2022,0.45,0.07,24.05,0.09,34.36,0.64,0.0,0.0,0.0
1,6,3,21,,2019,0.44,0.23,83.23,0.33,118.9,0.63,0.0,0.0,0.0
1,6,3,22,,2020,0.44,0.21,77.48,0.30,110.69,0.62,0.0,0.0,0.0
1,6,3,23,,2021,0.44,0.2,74.52,0.29,106.45,0.63,0.0,0.0,0.0
1,6,3,24,,2022,0.45,0.2,72.0,0.28,102.86,0.64,0.0,0.0,0.0
1,7,2,25,,2019,0.54,0.1,36.16,0.14,51.66,0.77,0.0,0.0,0.0
1,7,2,26,,2020,0.53,0.09,34.33,0.13,49.04,0.76,0.0,0.0,0.0
1,7,2,27,,2021,0.51,0.09,31.9,0.12,45.58,0.73,0.0,0.0,0.0
1,7,2,28,,2022,0.52,0.09,31.06,0.12,44.37,0.74,0.0,0.0,0.0
1,8,4,29,,2019,0.48,0.65,236.34,0.93,337.63,0.69,0.0,0.0,0.0
1,8,4,30,,2020,0.48,0.67,245.88,0.96,351.26,0.69,0.0,0.0,0.0
1,8,4,31,,2021,0.48,0.68,249.59,0.98,356.55,0.69,0.0,0.0,0.0
1,8,4,32,,2022,0.48,0.69,252.24,0.99,360.34,0.69,0.0,0.0,0.0
1,9,2,33,,2019,0.54,1.25,456.84,1.79,652.63,0.77,652.63,0.0,0.0
1,9,2,34,3.0,2020,0.53,1.16,423.08,1.66,604.39,0.76,604.39,3966.0,604.39
1,9,2,35,3.0,2021,0.51,1.05,383.78,1.50,548.25,0.73,548.25,0.0,0.0
1,9,2,36,3.0,2022,0.52,1.0,363.99,1.42,519.98,0.74,548.25,1922.0,519.98
1,10,4,37,,2019,0.68,1.94,709.6,2.78,1013.72,0.97,1006.67,0.0,0.0
1,10,4,38,3.0,2020,0.27,0.75,273.77,1.07,391.1,0.39,362.72,3815.0,362.72
1,10,4,39,3.0,2021,0.27,0.74,268.65,1.05,383.78,0.39,341.94,0.0,0.0
1,10,4,40,3.0,2022,0.27,0.72,263.33,1.03,376.18,0.39,341.94,2672.0,345.5
1,11,2,41,,2019,0.44,0.2,71.73,0.28,102.47,0.63,102.47,0.0,0.0
1,11,2,42,5.0,2020,0.44,0.19,67.92,0.27,97.03,0.62,97.03,803.0,97.03
1,11,2,43,5.0,2021,0.44,0.18,66.01,0.26,94.3,0.63,94.3,0.0,0.0
1,11,2,44,5.0,2022,0.45,0.18,64.53,0.25,92.18,0.64,94.3,397.0,92.18
1,12,4,45,,2019,0.54,0.4,144.44,0.57,206.34,0.77,205.82,0.0,0.0
1,12,4,46,5.0,2020,0.53,0.38,139.86,0.55,199.79,0.76,196.7,911.0,196.7
1,12,4,47,5.0,2021,0.51,0.36,133.06,0.52,190.08,0.73,180.77,0.0,0.0
1,12,4,48,5.0,2022,0.52,0.36,132.0,0.52,188.57,0.74,180.77,697.0,183.85
1,13,4,49,,2019,0.48,0.49,179.85,0.70,256.93,0.68,256.31,0.0,0.0
1,13,4,50,3.0,2020,0.48,0.49,178.46,0.70,254.95,0.68,252.28,1534.0,252.28
1,13,4,51,3.0,2021,0.48,0.49,178.64,0.70,255.19,0.68,245.52,0.0,0.0
1,13,4,52,3.0,2022,0.48,0.49,177.94,0.70,254.2,0.68,245.52,1025.0,249.73
